Date,Traffic,Desktop Share,Mobile Share,Rating,Main Traffic Source
01-Jun-16,4989,15.8,85.36,6.2,Search
01-Jul-16,4633,36.5,29.25,7.6,Direct
01-Aug-16,4475,25.8,48.52,-5.7,Direct
01-Sep-16,2967,0.87,63.25,5.2,Referral
01-Oct-16,3507,1.65,48.69,4.8,Direct
01-Nov-16,4337,26.5,66.36,7.1,Direct
01-Dec-16,4470,14.2,84.26,6.1,Direct
01-Jan-17,4439,15.99,54.22,-3.9,Social
01-Feb-17,4895,28.4,97.2,6.9,Direct
01-Mar-17,3924,44.6,84.23,4.2,Direct
01-Apr-17,2827,3.87,76.32,8.4,Direct
01-May-17,3481,33.6,69.35,1.9,Referral
01-Jun-17,4627,1.98,45.26,3.5,Referral
01-Jul-17,4561,2.55,57.45,1.2,Direct
01-Aug-17,4626,15.68,99.38,-2.6,Direct
01-Sep-17,4137,14.96,72.25,0.2,Direct
01-Oct-17,3555,23.55,99.41,-17.8,Search
01-Nov-17,2671,45.9,65.06,1.8,Direct
01-Dec-17,3486,26.5,82.25,4.6,Direct
01-Jan-18,4000,11.6,94.26,-6.8,Direct
01-Feb-18,3828,17.5,56.21,4.1,Referral
01-Mar-18,3935,16.9,75.29,-6.2,Social
01-Apr-18,3633,14.8,48.26,2.7,Social
01-May-18,2997,12.6,37.43,6.1,Search
01-Jun-18,2194,19.5,97.56,17.4,Direct
01-Jul-18,2948,18.5,92.36,7.8,Direct
01-Aug-18,4049,16.5,58.26,12.4,Direct
01-Sep-18,3792,2.8,41.25,6.2,Search
01-Oct-18,4029,1.2,84.63,-1.2,Direct
01-Nov-18,3945,6.8,94.44,2.6,Direct
01-Dec-18,3523,7.9,78.23,1.2,Direct
01-Jan-19,2646,15.9,67.52,3.7,Referral
01-Feb-19,3454,5.6,88.36,3.6,Direct
01-Mar-19,3703,17.9,98.01,-11.3,Direct
01-Apr-19,3680,25.8,98.38,6.7,Direct
01-May-19,3479,15.5,63.25,-4.8,Social
01-Jun-19,3756,13.9,77.26,-6.1,Referral
01-Jul-19,3289,2.8,72.66,12.1,Direct
01-Aug-19,2416,15.6,67.55,5.2,Direct
01-Sep-19,2793,1.8,25.36,4.6,Direct
01-Oct-19,3749,26.2,75.29,9.7,Social
01-Nov-19,3786,12.8,81.26,-5.5,Referral
01-Dec-19,4002,18.6,99.86,4.8,Direct
01-Jan-20,3823,5.9,99.51,-10.4,Direct
01-Feb-20,3430,14.2,99.3,0.9,Direct
01-Mar-20,2400,6.8,46.66,-17,Direct
01-Apr-20,2835,8.7,67.84,1.6,Direct
01-May-20,4001,12.1,88.54,9.4,Search
01-Jun-20,3795,1.5,56.29,-7.7,Direct
01-Jul-20,3903,11.8,48.26,6.7,Direct
01-Aug-20,3397,13.8,96.25,7.9,Direct
01-Sep-20,3005,2.6,69.69,-5.7,Social
01-Oct-20,2305,5.8,78.25,8.4,Search
01-Nov-20,2696,9.5,99.65,7.3,Direct
01-Dec-20,3866,7.69,84.36,4.8,Direct
01-Jan-21,3826,15.67,77.26,-9.4,Direct
01-Feb-21,3673,15.21,67.36,6.4,Direct
01-Mar-21,3660,11.58,57.29,2.8,Search
01-Apr-21,3136,9.6,57.84,-7.6,Direct
01-May-21,2223,18.9,63.58,3.2,Direct
01-Jun-21,2623,5.78,96.22,1.9,Direct
01-Jul-21,3638,14.99,82.64,-2.7,Search
01-Aug-21,3740,7.58,48.26,10.4,Direct
01-Sep-21,3767,12.84,66.58,5.9,Referral
01-Oct-21,3621,8.67,75.69,-11.9,Direct
01-Nov-21,2971,3.36,85.36,6.7,Direct
01-Dec-21,2221,11.2,57.96,-2.9,Direct
01-Jan-22,2724,14.95,94.26,2.69,Direct
01-Feb-22,3456,12.3,48.26,11.5,Search
01-Mar-22,3581,11.25,48.69,-6.7,Referral
01-Apr-22,2064,0.84,66.36,5.8,Direct
